model-1593639189, 1593639191.573, 0.65, 0.2414, 0.55, 0.25
model-1593639189, 1593639191.617, 0.51, 0.2554, 0.63, 0.2333
model-1593639189, 1593639191.664, 0.59, 0.2411, 0.67, 0.2278
model-1593639189, 1593639191.709, 0.56, 0.244, 0.53, 0.2612
model-1593639189, 1593639191.753, 0.64, 0.2392, 0.49, 0.2535
model-1593639189, 1593639191.801, 0.64, 0.2413, 0.49, 0.2631
model-1593639189, 1593639191.848, 0.48, 0.2762, 0.52, 0.2524
model-1593639189, 1593639191.892, 0.55, 0.2538, 0.47, 0.2565
model-1593639189, 1593639191.94, 0.5, 0.2556, 0.51, 0.2529
model-1593639189, 1593639191.984, 0.5, 0.2483, 0.5, 0.2495
model-1593639189, 1593639192.035, 0.54, 0.2458, 0.44, 0.2534
model-1593639189, 1593639192.083, 0.49, 0.2522, 0.52, 0.2481
model-1593639189, 1593639192.127, 0.52, 0.2495, 0.5, 0.2502
model-1593639189, 1593639192.171, 0.56, 0.2472, 0.51, 0.2497
model-1593639189, 1593639192.217, 0.52, 0.2491, 0.46, 0.2509
model-1593639189, 1593639192.261, 0.59, 0.2464, 0.5, 0.25
model-1593639189, 1593639192.305, 0.52, 0.2486, 0.47, 0.2499
model-1593639189, 1593639192.352, 0.46, 0.2507, 0.54, 0.2493
model-1593639189, 1593639192.396, 0.49, 0.2484, 0.58, 0.2474
model-1593639189, 1593639192.44, 0.47, 0.2503, 0.5, 0.2497
model-1593639189, 1593639192.487, 0.61, 0.2454, 0.59, 0.2476
model-1593639189, 1593639192.532, 0.5, 0.2518, 0.46, 0.2508
model-1593639189, 1593639192.579, 0.56, 0.2478, 0.6, 0.2437
model-1593639189, 1593639192.626, 0.57, 0.2462, 0.56, 0.2447
model-1593639189, 1593639192.67, 0.61, 0.2439, 0.62, 0.2406
model-1593639189, 1593639192.714, 0.59, 0.2439, 0.65, 0.228
model-1593639189, 1593639192.761, 0.54, 0.2427, 0.45, 0.2581
model-1593639189, 1593639192.807, 0.47, 0.2611, 0.54, 0.2369
model-1593639189, 1593639192.854, 0.61, 0.2371, 0.62, 0.2362
model-1593639189, 1593639192.901, 0.57, 0.2429, 0.61, 0.2449
model-1593639189, 1593639192.945, 0.63, 0.2365, 0.64, 0.2373
model-1593639189, 1593639192.989, 0.5, 0.2558, 0.59, 0.2437
model-1593639189, 1593639193.038, 0.61, 0.2376, 0.68, 0.2332
model-1593639189, 1593639193.087, 0.51, 0.2457, 0.66, 0.2329
model-1593639189, 1593639193.13, 0.61, 0.2443, 0.5, 0.2475
model-1593639189, 1593639193.179, 0.6, 0.2433, 0.53, 0.2494
model-1593639189, 1593639193.223, 0.52, 0.2564, 0.69, 0.2257
model-1593639189, 1593639193.267, 0.59, 0.2401, 0.59, 0.2364
model-1593639189, 1593639193.314, 0.62, 0.2369, 0.59, 0.2385
model-1593639189, 1593639193.358, 0.64, 0.2289, 0.62, 0.2368
model-1593639189, 1593639193.402, 0.55, 0.2516, 0.56, 0.2531
model-1593639189, 1593639193.45, 0.66, 0.2286, 0.68, 0.2228
model-1593639189, 1593639193.494, 0.6, 0.2332, 0.56, 0.2444
model-1593639189, 1593639193.538, 0.6, 0.2358, 0.51, 0.2398
model-1593639189, 1593639193.591, 0.58, 0.2357, 0.52, 0.245
model-1593639189, 1593639193.638, 0.6, 0.2347, 0.69, 0.2151
model-1593639189, 1593639193.685, 0.57, 0.2392, 0.64, 0.2393
model-1593639189, 1593639193.732, 0.61, 0.2266, 0.5, 0.2711
model-1593639189, 1593639193.776, 0.56, 0.2541, 0.59, 0.2383
model-1593639189, 1593639193.823, 0.59, 0.2482, 0.62, 0.2225
model-1593639189, 1593639193.871, 0.62, 0.2304, 0.65, 0.2243
model-1593639189, 1593639193.915, 0.63, 0.2281, 0.55, 0.2526
model-1593639189, 1593639193.958, 0.57, 0.2252, 0.5, 0.2498
model-1593639189, 1593639194.004, 0.53, 0.247, 0.48, 0.2611
model-1593639189, 1593639194.048, 0.55, 0.2541, 0.62, 0.2312
model-1593639189, 1593639194.099, 0.61, 0.235, 0.63, 0.2351
model-1593639189, 1593639194.145, 0.6, 0.2323, 0.63, 0.2358
model-1593639189, 1593639194.189, 0.58, 0.2457, 0.6, 0.2454
model-1593639189, 1593639194.233, 0.58, 0.2281, 0.55, 0.2466
model-1593639189, 1593639194.28, 0.5, 0.2467, 0.61, 0.2258
model-1593639189, 1593639194.324, 0.55, 0.2444, 0.66, 0.2226
model-1593639189, 1593639194.367, 0.55, 0.2439, 0.6, 0.2402
model-1593639189, 1593639194.414, 0.6, 0.2432, 0.74, 0.2174
model-1593639189, 1593639194.458, 0.52, 0.2459, 0.55, 0.2438
model-1593639189, 1593639194.501, 0.55, 0.248, 0.53, 0.249
model-1593639189, 1593639194.547, 0.56, 0.254, 0.64, 0.2342
model-1593639189, 1593639194.592, 0.58, 0.2467, 0.6, 0.2421
model-1593639189, 1593639194.641, 0.64, 0.2376, 0.54, 0.2442
model-1593639189, 1593639194.688, 0.55, 0.2434, 0.65, 0.2408
model-1593639189, 1593639194.731, 0.61, 0.2368, 0.61, 0.238
model-1593639189, 1593639194.775, 0.55, 0.2523, 0.54, 0.2445
model-1593639189, 1593639194.822, 0.6, 0.2366, 0.64, 0.2342
model-1593639189, 1593639194.867, 0.63, 0.237, 0.66, 0.2295
model-1593639189, 1593639194.912, 0.55, 0.2451, 0.67, 0.233
model-1593639189, 1593639194.96, 0.61, 0.235, 0.62, 0.2322
model-1593639189, 1593639195.003, 0.55, 0.2397, 0.66, 0.2259
model-1593639189, 1593639195.047, 0.59, 0.2378, 0.58, 0.2441
